2025-12-19T15:18:41.914662400 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:18:41.912663800 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:30:00.082451200 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:30:00.076460400 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:30:00.288003 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:30:00.288003 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:30:02.322362300 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:30:02.322362300 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:30:05.742499600 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:30:05.742499600 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:57:07.383338 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:57:07.382338200 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:57:54.429049100 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:57:54.429049100 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:57:55.193927500 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:57:55.192929800 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T15:58:58.708942600 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T15:58:58.708942600 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T16:19:33.892718600 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T16:19:33.891588600 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T16:28:37.919106400 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T16:28:37.915782600 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T16:28:42.531862600 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T16:28:42.530909100 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:50:17.112381800 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:50:17.111379400 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:50:17.113382600 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:50:17.113382600 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:50:17.172786 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:50:17.172786 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:50:17.174788800 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:50:17.174788800 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:50:17.174788800 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:50:17.174788800 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:57:00.748827 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:57:00.748827 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:59:46.182726100 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:59:46.180724500 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:59:46.182726100 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:59:46.180724500 | Mensagem: Cancelamento chamado para canal 14
2025-12-19T17:59:46.182726100 | Canal: 14 | Status: sucesso | Hora: 2025-12-19T17:59:46.181726400 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T11:05:07.843056800 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T11:05:07.840540600 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T11:41:32.744480200 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T11:41:32.743478900 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T11:48:32.081863600 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T11:48:32.079290 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T12:17:19.464204900 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T12:17:19.463109200 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T13:31:36.664373500 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T13:31:36.661432700 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T13:45:51.249083600 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T13:45:51.249083600 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T13:45:51.249083600 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T13:45:51.249083600 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T13:51:54.192152100 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T13:51:54.191102100 | Mensagem: Cancelamento chamado para canal 14
2026-01-05T14:05:16.816347600 | Canal: 14 | Status: sucesso | Hora: 2026-01-05T14:05:16.815352 | Mensagem: Cancelamento chamado para canal 14
