2025-12-02T10:49:13.545951900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1819 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-02T10:51:51.355344300 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1258
2025-12-02T15:35:50.647216300 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2025-12-02T15:40:55.596869400 | DAC: 430 | Esperado: 10W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 19952
2025-12-02T17:54:19.482462200 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 16595
2025-12-02T17:59:57.922557900 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1288
2025-12-02T18:05:37.726167800 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2884
2025-12-03T12:21:51.350352800 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2025-12-03T13:45:07.046928 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-03T13:46:47.513820100 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-03T13:48:27.793342700 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2025-12-03T13:52:30.878423600 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 4168
2025-12-03T13:54:11.902895700 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-03T13:55:56.677537200 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2025-12-03T13:57:37.895330400 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 6606
2025-12-03T13:59:20.115878600 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 25703
2025-12-03T14:00:51.994267400 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 9120 | Depois: PowerAmplifier1.Status.ForwardPower = 9332
2025-12-03T14:02:31.537394100 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-03T14:04:10.281921100 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
2025-12-03T14:05:48.809923200 | DAC: 430 | Esperado: 20W | Antes: PowerAmplifier1.Status.ForwardPower = 5011 | Depois: PowerAmplifier1.Status.ForwardPower = 5011
2025-12-03T14:07:26.976642100 | DAC: 486 | Esperado: 67.3W | Antes: PowerAmplifier1.Status.ForwardPower = 19952 | Depois: PowerAmplifier1.Status.ForwardPower = 19952
2025-12-03T14:09:15.297573900 | DAC: 300 | Esperado: 1W | Antes: PowerAmplifier1.Status.ForwardPower = 72443 | Depois: PowerAmplifier1.Status.ForwardPower = 72443
2025-12-03T14:10:53.634151100 | DAC: 340 | Esperado: 2.5W | Antes: PowerAmplifier1.Status.ForwardPower = 1000 | Depois: PowerAmplifier1.Status.ForwardPower = 1000
2025-12-03T14:12:31.837377300 | DAC: 370 | Esperado: 5W | Antes: PowerAmplifier1.Status.ForwardPower = 2511 | Depois: PowerAmplifier1.Status.ForwardPower = 2511
